id_pedido,data_pedido,ano,mes,regiao,cidade,canal_venda,vendedor,segmento_cliente,produto,categoria,quantidade,preco_unitario,desconto_percentual,frete,receita_bruta,receita_liquida,custo_total,lucro,margem_percentual,forma_pagamento,status_pedido,prazo_entrega_dias,avaliacao_cliente
PED-00409,2025-01-01,2025,01,Sudeste,Belo Horizonte,Aplicativo,Daniel,Pessoa Física,Smartphone Y,Telefonia,2,2150.00,10,67.62,4300.00,3937.62,3183.67,753.95,19.15,PIX,Concluído,7,4
PED-00029,2025-01-02,2025,01,Sudeste,São Paulo,Aplicativo,Felipe,Pequena Empresa,Headset USB,Acessórios,3,260.00,0,85.50,780.00,0.00,29.92,-29.92,0.00,Transferência,Cancelado,5,
PED-00199,2025-01-02,2025,01,Sul,Porto Alegre,Marketplace,Henrique,Pessoa Física,Headset USB,Acessórios,3,260.00,15,93.87,780.00,756.87,497.85,259.02,34.22,Cartão de Crédito,Concluído,12,3
PED-00633,2025-01-02,2025,01,Sudeste,Rio de Janeiro,Loja Física,Gabriela,Pessoa Física,Mesa Home Office,Móveis,2,980.00,10,75.67,1960.00,0.00,26.48,-26.48,0.00,PIX,Cancelado,11,
PED-00950,2025-01-02,2025,01,Sudeste,Campinas,Site,Felipe,Média Empresa,Notebook Pro 14,Eletrônicos,8,4200.00,0,58.98,33600.00,33658.98,25220.64,8438.34,25.07,Boleto,Concluído,9,3
PED-00549,2025-01-03,2025,01,Sul,Curitiba,Aplicativo,Gabriela,Pessoa Física,Monitor 27,Eletrônicos,1,1450.00,5,32.09,1450.00,1409.59,1031.23,378.36,26.84,PIX,Concluído,8,5
PED-01261,2025-01-03,2025,01,Sul,Porto Alegre,Site,Bruno,Pessoa Física,Tablet 10,Telefonia,2,1850.00,15,9.94,3700.00,3154.94,2643.48,511.46,16.21,Transferência,Concluído,6,5
PED-01448,2025-01-04,2025,01,Sudeste,Rio de Janeiro,Aplicativo,Bruno,Corporativo,Webcam Full HD,Acessórios,4,310.00,0,73.99,1240.00,1313.99,785.90,528.09,40.19,Transferência,Concluído,11,5
PED-00185,2025-01-05,2025,01,Sudeste,São Paulo,Marketplace,Carla,Pessoa Física,Headset USB,Acessórios,1,260.00,0,63.72,260.00,323.72,177.30,146.42,45.23,Boleto,Concluído,9,5
PED-00458,2025-01-05,2025,01,Nordeste,Fortaleza,Marketplace,Eduarda,Corporativo,Smartphone X,Telefonia,4,3200.00,20,63.35,12800.00,0.00,22.17,-22.17,0.00,Transferência,Cancelado,12,
PED-00514,2025-01-05,2025,01,Sudeste,São Paulo,Site,Henrique,Pequena Empresa,Mouse Sem Fio,Acessórios,5,145.00,0,64.72,725.00,118.46,367.75,-249.29,-210.44,Transferência,Devolvido,2,
PED-01473,2025-01-05,2025,01,Centro-Oeste,Cuiabá,Site,Bruno,Pessoa Física,Smartphone X,Telefonia,1,3200.00,0,66.96,3200.00,3266.96,2473.44,793.52,24.29,Cartão de Crédito,Concluído,2,2
PED-00509,2025-01-06,2025,01,Sul,Londrina,Site,Gabriela,Pequena Empresa,Cadeira Ergonômica,Móveis,1,1350.00,15,3.91,1350.00,1151.41,881.37,270.04,23.45,Transferência,Concluído,5,3
PED-00644,2025-01-06,2025,01,Centro-Oeste,Brasília,Site,Daniel,Pequena Empresa,SSD 1 TB,Componentes,1,510.00,0,71.54,510.00,581.54,370.04,211.50,36.37,Boleto,Concluído,2,4
PED-00661,2025-01-06,2025,01,Centro-Oeste,Goiânia,Site,Eduarda,Pessoa Física,Smartphone Y,Telefonia,2,2150.00,10,85.59,4300.00,3955.59,3189.96,765.63,19.36,Transferência,Concluído,11,3
PED-01297,2025-01-06,2025,01,Norte,Manaus,Loja Física,Felipe,Pessoa Física,Smartphone Y,Telefonia,1,2150.00,20,43.75,2150.00,1763.75,1595.31,168.44,9.55,PIX,Concluído,5,5
PED-01327,2025-01-06,2025,01,Sul,Porto Alegre,Site,Bruno,Pessoa Física,Impressora Wi-Fi,Escritório,2,760.00,0,12.93,1520.00,1532.93,1034.53,498.40,32.51,Boleto,Concluído,5,5
PED-01304,2025-01-07,2025,01,Sudeste,Belo Horizonte,Aplicativo,Ana,Pessoa Física,Memória RAM 16 GB,Componentes,2,390.00,20,57.99,780.00,681.99,510.30,171.69,25.17,Cartão de Crédito,Concluído,2,5
PED-00717,2025-01-08,2025,01,Nordeste,Fortaleza,Site,Eduarda,Pessoa Física,Smartphone Y,Telefonia,5,2150.00,15,63.96,10750.00,9201.46,7922.39,1279.07,13.90,Cartão de Crédito,Concluído,7,2
PED-00859,2025-01-08,2025,01,Norte,Porto Velho,Site,Henrique,Pessoa Física,Smartphone X,Telefonia,2,3200.00,0,82.45,6400.00,6482.45,4928.86,1553.59,23.97,Boleto,Concluído,6,2
PED-01101,2025-01-08,2025,01,Centro-Oeste,Brasília,Site,Bruno,Pequena Empresa,Smartphone X,Telefonia,2,3200.00,0,12.90,6400.00,6412.90,4904.52,1508.38,23.52,Boleto,Concluído,9,5
PED-01208,2025-01-08,2025,01,Nordeste,Salvador,Site,Ana,Média Empresa,Mesa Home Office,Móveis,2,980.00,5,46.51,1960.00,1908.51,1256.28,652.23,34.17,Boleto,Concluído,12,4
PED-01231,2025-01-08,2025,01,Nordeste,Fortaleza,Site,Ana,Pessoa Física,Webcam Full HD,Acessórios,3,310.00,15,38.53,930.00,829.03,583.49,245.54,29.62,Transferência,Concluído,10,5
PED-00575,2025-01-09,2025,01,Sudeste,São Paulo,Marketplace,Daniel,Corporativo,Teclado Mecânico,Acessórios,3,350.00,0,6.50,1050.00,1056.50,632.27,424.23,40.15,Transferência,Concluído,11,4
PED-00268,2025-01-10,2025,01,Nordeste,Recife,Site,Henrique,Corporativo,Teclado Mecânico,Acessórios,1,350.00,10,35.40,350.00,350.40,222.39,128.01,36.53,Transferência,Concluído,3,3
PED-00889,2025-01-10,2025,01,Centro-Oeste,Brasília,Loja Física,Henrique,Pequena Empresa,Impressora Wi-Fi,Escritório,1,760.00,15,58.37,760.00,704.37,535.43,168.94,23.98,Transferência,Concluído,1,3
PED-00046,2025-01-11,2025,01,Sudeste,Campinas,Marketplace,Daniel,Pequena Empresa,Headset USB,Acessórios,3,260.00,5,75.33,780.00,816.33,491.37,324.96,39.81,PIX,Concluído,5,3
PED-00655,2025-01-11,2025,01,Nordeste,Recife,Marketplace,Bruno,Pessoa Física,Impressora Wi-Fi,Escritório,3,760.00,15,70.86,2280.00,301.33,1334.33,-1033.00,-342.81,Boleto,Devolvido,7,
PED-00829,2025-01-11,2025,01,Sudeste,Rio de Janeiro,Marketplace,Ana,Pessoa Física,Smartphone X,Telefonia,1,3200.00,10,51.08,3200.00,2931.08,2467.88,463.20,15.80,Transferência,Concluído,2,2
